slope_deg,elevation_m,rainfall_7day_mm,soil_type,landslide_probability
7.71,1048.26,91.92,Silt Loam,0.2903389883223613
4.53,507.46,65.79,Sandy Loam,0.17331451709454682
22.08,1141.8,122.65,Loam,0.48387961282967107
1.02,358.46,35.44,Loam,0.12417194060820237
34.79,1845.84,164.36,Sand,0.720301301896446
3.57,739.93,85.28,Clay,0.24886459803145497
22.39,1426.29,144.87,Sandy Loam,0.5474208072243751
7.48,829.91,88.43,Loam,0.25427890171958023
21.42,1184.12,125.32,Loam,0.48655159006077436
18.75,1229.41,114.11,Sand,0.4059753847367058
9.74,614.25,68.76,Sand,0.20222268724407153
38.4,1948.29,203.35,Sandy Loam,0.8227972322066742
29.81,1617.73,160.35,Loam,0.6801633700809749
33.31,1897.15,165.66,Sandy Loam,0.7341286644628973
25.43,1821.21,176.82,Loam,0.6861180640380334
20.31,1316.43,122.43,Loam,0.48400453948621697
28.68,1867.19,192.05,Clay,0.7779451151259564
1.29,450.44,65.32,Sandy Loam,0.1508262064195105
4.79,633.17,52.1,Loam,0.17535153674575568
0.0,376.89,65.3,Silt Loam,0.15247154924084766
1.27,853.06,80.09,Loam,0.199264005264952
9.87,960.75,129.86,Loam,0.3526674743317273
10.19,761.29,87.78,Clay,0.31080639632499474
21.44,1708.85,155.1,Clay Loam,0.6227427277992815
12.21,906.48,84.45,Sandy Loam,0.28461831171803903
19.05,777.59,95.2,Clay,0.41128173682173813
23.57,1222.58,124.16,Sandy Loam,0.49887513823792146
13.01,539.57,67.11,Sand,0.21766302162925757
29.23,1663.73,193.93,Silt Loam,0.7410199023433355
8.37,426.74,47.92,Silt Loam,0.18709867611865846
29.93,1977.71,198.89,Clay,0.8032199917588091
23.03,1612.82,186.45,Silt Loam,0.6705036798740918
0.0,637.82,81.46,Silt Loam,0.1855175200024513
6.12,309.39,23.75,Sandy Loam,0.13048641279170853
35.43,1686.28,179.35,Sand,0.7339348407885783
21.27,1501.66,137.7,Loam,0.5430219994095767
23.52,1539.31,179.64,Clay,0.6895167294706527
22.45,1611.16,152.66,Sand,0.5578911383195906
4.43,425.88,102.87,Sandy Loam,0.20992370470373214
17.81,909.39,123.86,Clay,0.46536452710836285
0.0,496.98,52.78,Loam,0.1411302073556581
31.39,1767.28,179.36,Sand,0.7067174121635318
19.81,1359.61,153.67,Clay,0.5908307299302654
11.82,862.53,109.38,Clay,0.37256611143473584
4.46,408.05,63.36,Loam,0.1711763164570891
9.63,828.67,113.36,Clay Loam,0.3320084400923891
10.54,852.81,94.91,Clay Loam,0.31262974120772186
23.74,1540.33,153.13,Sandy Loam,0.5889112373427753
26.53,1383.85,139.34,Sandy Loam,0.5757690108580199
32.26,1808.26,195.62,Loam,0.7695806136888786
17.16,1102.77,124.73,Clay,0.4813999684361951
0.0,503.31,69.67,Sand,0.13860899081316913
22.36,1512.52,168.05,Clay,0.6570791661158176
30.36,1593.33,132.63,Sandy Loam,0.6247675126702639
19.27,1254.17,137.53,Sandy Loam,0.48185020163207093
29.51,1610.64,168.24,Clay,0.7306005367503586
25.62,1139.45,147.58,Sandy Loam,0.5549390479679185
22.97,1188.65,104.05,Sandy Loam,0.45135733221851865
15.0,1026.82,135.77,Silt Loam,0.43367849732512725
0.0,343.21,52.02,Clay,0.15716501042712436
0.0,483.42,70.84,Loam,0.15750325842203697
0.23,353.43,76.95,Sandy Loam,0.1507305662520563
20.01,1381.9,152.78,Clay Loam,0.5693133974547501
12.64,834.41,101.1,Clay,0.3633587477878324
16.52,1164.57,128.45,Clay Loam,0.46345393119559963
29.26,1842.86,178.61,Silt Loam,0.7344040873109487
0.0,723.8,84.71,Sand,0.16559594862484037
9.25,997.65,99.06,Clay,0.3435491807777648
28.07,1584.44,161.93,Loam,0.6632901595802944
16.36,688.96,46.97,Clay,0.2948062464851606
2.13,430.87,65.21,Loam,0.16083360619252582
11.49,792.58,89.51,Clay Loam,0.3069141737977689
10.24,574.08,66.62,Clay,0.2621121618370774
27.56,1880.49,192.54,Sandy Loam,0.7242927431239238
29.31,1673.8,149.14,Clay,0.7056417702795728
17.83,1376.79,172.85,Silt Loam,0.5706587644928894
33.95,1781.48,178.79,Clay,0.7924669142648001
28.08,1666.24,167.77,Clay,0.7227544474717135
7.84,617.17,61.06,Loam,0.20437838349180068
26.43,1817.35,183.92,Silt Loam,0.716207883239987
21.87,1216.88,150.32,Clay,0.5906294692239856
37.88,1672.65,186.08,Clay,0.8194570240668866
25.43,1823.36,196.92,Clay,0.756433584295159
9.11,840.61,103.85,Clay Loam,0.31282568524119875
4.9,487.09,58.46,Sandy Loam,0.1665282752886451
11.68,687.49,60.12,Silt Loam,0.2455284781559314
11.72,1026.08,109.33,Silt Loam,0.3535079994153967
13.65,1690.63,168.62,Clay,0.5901267401623144
36.06,1763.24,194.42,Sandy Loam,0.7838006532127425
4.04,311.82,52.7,Clay,0.17986839585353676
8.65,1168.27,149.33,Loam,0.3960716364631594
11.15,1009.6,128.83,Sandy Loam,0.3567964384127945
15.39,677.58,74.14,Sandy Loam,0.2758494205018006
11.31,503.77,38.41,Clay,0.22589790055543055
16.17,873.95,119.44,Clay,0.43613559234293564
31.18,1902.95,211.66,Silt Loam,0.7976891204679428
11.4,849.44,75.96,Silt Loam,0.27997490854382173
16.98,1181.94,149.01,Clay,0.5335427496370655
29.54,1495.13,160.29,Clay,0.7085890931170507
7.98,918.17,105.05,Sand,0.26084619383090923
29.01,1952.03,219.9,Silt Loam,0.7962976570424716
37.77,1936.16,214.42,Clay Loam,0.8501962947309349
8.34,728.03,95.29,Loam,0.2624639928566819
23.8,1145.32,130.18,Sandy Loam,0.5040346535304111
6.87,811.49,102.28,Clay,0.30867033529747867
9.41,784.23,84.58,Sandy Loam,0.25102300316683934
0.0,362.71,51.82,Clay,0.1581091962372963
20.76,1336.26,126.73,Clay,0.5488280551862673
9.7,1154.55,118.91,Clay,0.39870732656025004
0.0,387.51,49.38,Silt Loam,0.13827895769340084
2.29,773.7,80.1,Sandy Loam,0.19268247816255168
34.35,1844.05,188.02,Sandy Loam,0.7691283846030859
11.73,707.26,78.79,Sand,0.23645591789751808
0.0,546.32,76.7,Silt Loam,0.17431301048337647
23.31,1132.07,97.55,Sandy Loam,0.4367526682279301
46.0,1975.61,196.1,Clay Loam,0.8770700788721892
8.46,711.49,86.01,Sandy Loam,0.23961580715093386
19.65,1442.63,145.18,Clay,0.5826847432970589
40.02,1594.75,160.94,Clay Loam,0.7826133003788351
1.48,703.98,59.58,Clay,0.19764005011538685
24.86,1537.97,163.76,Sandy Loam,0.6189960982821678
13.4,925.23,112.98,Loam,0.3543971581079851
28.22,1374.92,151.15,Sandy Loam,0.6133223776473693
23.34,1377.0,159.51,Sandy Loam,0.5788722939700999
15.72,1210.82,132.0,Clay,0.49166029288021657
0.0,453.49,67.99,Sandy Loam,0.14661069192451645
26.69,1720.01,177.14,Silt Loam,0.699117263451502
5.87,845.33,106.39,Loam,0.26834889724255934
6.58,617.08,51.88,Loam,0.1852549394190255
0.0,369.32,39.83,Loam,0.12356770654522757
12.62,1304.52,161.21,Sand,0.4366203773292803
29.31,1451.86,113.76,Silt Loam,0.5895023003166215
0.0,328.2,47.44,Sand,0.1120138611747608
11.07,1170.56,142.93,Clay,0.458531784911931
6.86,685.04,80.25,Clay,0.26361968359678745
22.28,1396.79,139.64,Clay,0.5947139037865349
0.0,596.42,75.62,Clay,0.19919607316762553
25.15,1474.59,147.42,Sandy Loam,0.5860005966200237
7.91,957.45,106.63,Clay Loam,0.3174764566818173
40.4,1892.44,180.07,Loam,0.8132717471524917
7.3,533.79,84.67,Clay Loam,0.24189395138881953
9.6,879.81,120.53,Clay,0.37186545551156924
0.13,492.9,62.36,Clay Loam,0.16374493617216784
30.91,1871.98,167.68,Clay,0.7627970547495788
32.89,1791.48,173.38,Clay Loam,0.7611448997677507
8.64,738.5,83.71,Clay,0.2885492745373066
21.35,1421.97,155.56,Clay Loam,0.5924814337963847
28.08,1689.28,156.91,Clay,0.7083031963364721
15.86,1243.84,120.41,Loam,0.42568045351321193
16.29,1200.41,135.7,Sandy Loam,0.44122987146008624
0.0,711.15,98.09,Loam,0.20217805239231776
8.03,458.27,51.92,Silt Loam,0.19161480744820253
32.0,1825.27,164.28,Clay Loam,0.7442517448126886
26.75,1830.71,234.03,Sandy Loam,0.7720162937736855
31.02,1376.27,155.61,Silt Loam,0.671229520040162
11.96,876.35,94.87,Clay,0.350314206970134
6.69,893.66,113.46,Sandy Loam,0.28006653092522155
28.97,1534.12,156.2,Sandy Loam,0.6458962861935676
32.49,1825.09,197.27,Sand,0.7475222028050086
32.13,1808.05,185.12,Loam,0.7543342925747356
24.39,1625.79,167.69,Silt Loam,0.6532886889839732
24.08,1391.45,143.53,Clay,0.6192575498703199
1.55,443.04,38.16,Loam,0.13314746884700462
8.28,574.77,100.8,Loam,0.256891328591474
21.03,1827.54,170.36,Loam,0.6342041888032826
18.45,1330.93,119.38,Loam,0.4603004821949429
8.92,315.63,45.21,Clay,0.2034315638767719
0.0,472.5,48.1,Sand,0.11902248825974639
19.54,1427.95,147.74,Clay,0.5846290018878332
0.0,308.6,58.09,Sand,0.11926840105191522
0.0,573.37,86.53,Clay,0.21082685365597123
7.62,1232.85,143.18,Clay,0.4297358804420619
22.37,1476.22,148.28,Sandy Loam,0.5589574445137375
22.85,1408.33,147.49,Sandy Loam,0.5551210709854982
7.36,681.26,87.43,Sandy Loam,0.2307512133242058
23.49,1510.7,129.6,Sandy Loam,0.539896594657515
8.28,703.32,91.86,Loam,0.25496898662483214
16.18,853.18,74.93,Silt Loam,0.3211903984435053
24.43,1569.04,191.82,Sandy Loam,0.6660876083879048
19.22,1404.38,140.33,Loam,0.5156125589904051
27.47,1743.68,174.16,Sand,0.6602221995241017
25.26,1417.94,136.07,Silt Loam,0.584742650189634
26.38,1266.12,124.5,Loam,0.5464155387372134
0.04,459.25,95.44,Sand,0.16083655450332546
13.0,925.12,117.37,Clay Loam,0.38132413974097434
10.71,750.84,64.34,Sandy Loam,0.23073557854664056
3.33,714.78,106.89,Clay,0.27599728043140065
33.18,1954.12,213.77,Clay Loam,0.8241792422446256
6.04,968.27,102.93,Clay,0.31703560941410713
21.48,1816.48,188.08,Clay,0.7103153063183143
23.29,1372.94,143.34,Loam,0.5605440026868217
25.1,1651.18,198.19,Silt Loam,0.7115175239521009
18.1,1154.48,111.96,Clay Loam,0.4483649033134366
19.53,1280.74,137.46,Sandy Loam,0.48739678443345363
11.86,1137.28,115.93,Clay Loam,0.3895220137514778
6.41,631.91,55.38,Clay,0.22172678277985652
18.4,1528.17,190.41,Clay,0.6585251760888047
16.5,777.31,72.23,Sandy Loam,0.2914348598918752
0.0,341.34,54.02,Clay Loam,0.14612148486260684
20.97,1397.3,119.65,Sandy Loam,0.4822178331829515
0.81,601.09,68.11,Clay,0.19605815225445888
34.83,1898.78,197.22,Clay,0.8273032905867118
30.78,1921.68,180.58,Clay,0.7826082311249687
28.51,1855.27,195.78,Loam,0.7444364263946123
16.85,929.27,99.6,Clay,0.41290611380922865
0.67,326.28,66.77,Clay Loam,0.1613343551026392
34.15,1878.14,209.46,Sandy Loam,0.7974180129173903
9.65,1027.91,103.71,Silt Loam,0.3246519418491589
25.84,1943.31,196.05,Clay,0.7679926632390194
33.3,1938.15,197.19,Clay,0.820394495335705
27.41,1750.12,186.8,Sandy Loam,0.7024659714444859
13.14,800.56,92.27,Sand,0.2747624490882683
12.69,954.67,108.77,Sandy Loam,0.3321901175956291
29.96,1746.93,173.57,Sand,0.6828077983641881
2.66,838.77,97.22,Sand,0.2041870525447598
15.2,588.14,92.4,Clay,0.34838013418323865
18.11,1246.56,141.88,Clay,0.5392752713249256
35.32,1891.46,200.75,Silt Loam,0.8116138538965295
19.48,1483.25,164.34,Loam,0.5714455961807282
20.92,1269.1,131.91,Loam,0.5029475895745895
0.0,465.2,66.65,Loam,0.15235047162770018
23.17,1345.51,124.82,Loam,0.5219240517842391
31.88,1983.09,217.51,Clay Loam,0.822099483470626
4.91,538.14,26.69,Clay,0.17151087026688158
21.11,1181.16,125.0,Loam,0.48235070752663284
23.67,1791.53,198.35,Sandy Loam,0.6911219827520254
21.76,1559.31,139.88,Silt Loam,0.5707695765207121
25.99,1484.93,159.64,Sandy Loam,0.6174921037558925
34.38,1494.22,144.27,Clay Loam,0.705423859505105
11.53,911.13,96.47,Silt Loam,0.3189609180638735
12.94,799.11,106.11,Sandy Loam,0.315129385209948
26.98,1675.91,173.8,Clay,0.7233110848839701
37.26,1677.19,140.43,Sandy Loam,0.710375545951799
20.74,1774.02,165.02,Silt Loam,0.6281962392876442
31.52,1852.51,201.36,Sand,0.747826760958929
9.26,1169.28,131.97,Clay Loam,0.395235536820795
4.52,1152.58,149.95,Sandy Loam,0.34322280400432337
28.63,1657.1,194.38,Sandy Loam,0.7163275367412018
22.8,1404.94,141.31,Clay,0.6038606391256143
22.44,1493.34,191.95,Clay,0.6950581870625581
26.53,1652.85,169.12,Clay,0.7102789819932824
45.75,1813.01,168.73,Clay,0.8554557632110095
10.2,874.59,89.21,Loam,0.28186288651931957
15.32,938.49,70.61,Loam,0.303782103619305
0.0,459.77,85.48,Sandy Loam,0.16411419910952418
21.14,1283.08,159.4,Sandy Loam,0.5455618492123528
0.03,361.1,37.27,Sandy Loam,0.116031122787879
13.78,1091.52,114.82,Sandy Loam,0.3666667811672531
27.54,1222.5,131.46,Loam,0.5666199164257271
15.63,787.12,76.44,Clay Loam,0.3231238221781963
20.77,1304.42,111.07,Clay,0.5163075663166052
0.0,351.85,48.51,Clay Loam,0.14162010901195432
0.0,363.49,47.9,Loam,0.12995899065668362
41.48,1698.42,167.03,Sandy Loam,0.7831352626165521
11.09,912.32,105.45,Clay,0.3636570026290367
9.84,516.0,87.88,Clay,0.2852295037562004
24.97,1187.81,122.36,Loam,0.5189811107945416
27.27,1608.99,167.37,Silt Loam,0.6782247783136442
3.13,666.9,90.92,Loam,0.21192312803763982
9.0,1358.91,150.61,Sandy Loam,0.4101495192706252
6.32,445.09,50.84,Loam,0.1713880489799404
0.0,387.86,56.35,Loam,0.13854773569552692
18.95,1203.3,136.51,Clay Loam,0.5084367930866459
12.13,1219.08,112.79,Sand,0.3373188568656085
20.35,1383.63,163.48,Sandy Loam,0.5558128686388533
24.86,1534.36,179.57,Clay,0.7009598603409287
34.52,1958.95,185.46,Clay,0.8164026299016105
11.98,1177.71,128.9,Clay Loam,0.41837388592136
16.97,849.03,106.05,Clay,0.4172474739193141
24.05,1651.82,160.48,Sand,0.5930839398069789
0.84,760.41,95.66,Loam,0.208563490908027
14.38,1046.25,116.61,Clay Loam,0.40667102763770385
2.84,433.38,36.99,Loam,0.13802196757126955
1.66,343.1,57.77,Loam,0.14600570471428662
39.54,1936.5,177.78,Sandy Loam,0.80016652808802
27.24,1721.17,188.99,Clay Loam,0.7321320164138776
23.07,1483.16,143.42,Clay Loam,0.5946679909399625
8.39,995.22,107.15,Silt Loam,0.31550196471720254
9.99,594.6,94.1,Silt Loam,0.27266598953806553
6.24,565.94,78.38,Sandy Loam,0.2026166014754373
6.41,725.41,69.1,Silt Loam,0.220661549132717
9.15,1233.69,115.81,Sand,0.3159641682921539
31.52,1514.81,147.34,Sandy Loam,0.6534496259079057
16.31,1422.34,153.93,Sandy Loam,0.4997197679006709
6.56,775.89,95.2,Sandy Loam,0.2426699737162442
34.26,1923.27,180.45,Sandy Loam,0.7645812860740677
19.11,1554.42,142.39,Sand,0.4973565592206618
11.38,1242.4,136.04,Loam,0.4078329824823037
10.18,1339.93,137.87,Clay,0.45834548123898344
17.87,1013.32,143.56,Sandy Loam,0.45187297651732633
5.7,721.14,85.45,Clay,0.26472760112454613
26.74,905.15,128.68,Sandy Loam,0.505845404659233
20.79,1588.34,145.39,Clay Loam,0.5861157028111618
0.0,324.47,25.6,Sandy Loam,0.10571958762532326
1.12,497.32,47.96,Sand,0.12516466491034592
2.78,378.2,71.88,Clay,0.19814763158886356
0.0,369.24,79.57,Clay Loam,0.1733516789895541
32.15,1754.28,166.15,Sandy Loam,0.7124236812611804
19.03,1496.22,147.75,Clay,0.5867196167028162
9.21,1106.1,102.01,Sandy Loam,0.3037930384387209
0.0,466.32,34.79,Clay Loam,0.1354113691716821
5.6,1135.75,132.99,Clay,0.3804943433859336
13.51,1104.9,122.79,Sandy Loam,0.3793064668183175
4.38,594.44,73.66,Clay Loam,0.2105764763084839
11.59,1037.55,92.38,Clay,0.3587500480969204
19.77,977.46,132.57,Sandy Loam,0.4475299042750394
27.08,1346.95,133.67,Sandy Loam,0.5671033570737554
19.92,1379.66,152.17,Loam,0.5423216687072322
0.0,377.02,32.11,Sandy Loam,0.11270761142016987
9.9,936.84,101.46,Clay,0.34775986773307493
18.28,1363.96,147.13,Silt Loam,0.5263937483982954
13.82,1155.33,128.89,Clay,0.4597075816141687
25.63,1756.03,180.36,Loam,0.6874436002747246
19.13,1419.78,155.2,Sandy Loam,0.5316096380216543
3.61,576.99,54.97,Loam,0.16777885216344024
0.0,419.97,60.76,Loam,0.1442697351401421
22.88,1392.11,147.0,Sand,0.5279292131794774
2.7,345.07,54.53,Clay Loam,0.16170361027547456
15.36,1295.82,137.71,Sand,0.42106380828777223
38.32,1898.39,171.76,Sandy Loam,0.7814060117463907
14.67,1278.31,115.28,Sand,0.3721507091834888
5.11,959.89,73.18,Clay Loam,0.24363237136722513
23.78,1393.59,157.69,Loam,0.593990613362366
11.49,1079.03,129.53,Loam,0.3801216187743817
20.16,1227.55,143.13,Clay,0.5609829235474195
19.99,1900.49,195.65,Sandy Loam,0.6631817199012024
20.09,956.37,74.08,Clay Loam,0.3790413645976947
36.04,1934.02,178.66,Sandy Loam,0.7763759745870026
23.28,1839.1,188.07,Silt Loam,0.6969918410472766
0.0,632.84,78.99,Clay,0.20585990028186915
10.72,417.91,54.27,Clay,0.23578398351532706
0.0,471.32,67.95,Sandy Loam,0.1475602929380496
0.0,330.98,49.96,Clay Loam,0.1418181787888743
0.0,460.55,63.26,Loam,0.1488467044704729
21.47,1461.11,141.91,Sand,0.5111366895237597
1.28,421.02,72.62,Clay,0.19201405014291154
14.42,842.26,89.34,Sandy Loam,0.3057825203815857
21.73,1736.29,156.31,Sandy Loam,0.5949905650847335
0.0,339.56,39.0,Sand,0.10636626069312058
29.95,1684.6,166.39,Clay,0.7379047084224218
14.62,779.15,105.03,Clay,0.38413900984024685
0.0,500.88,64.45,Clay,0.1799063050505462
29.1,1484.45,150.81,Clay Loam,0.6669323272176699
21.57,1369.2,124.5,Clay,0.5567766164966745
35.29,1791.7,193.04,Clay,0.818706085186411
24.64,1549.62,149.69,Sandy Loam,0.5928954336817673
14.71,1665.92,168.43,Sandy Loam,0.5366919651396631
8.83,779.46,112.35,Sand,0.26654096308966274
11.33,601.65,81.78,Clay Loam,0.2761985776554449
21.05,1576.05,137.42,Sandy Loam,0.535922561142628
25.49,1671.62,143.9,Clay Loam,0.6393368598389086
32.8,1983.86,197.58,Silt Loam,0.7975329141997242
0.0,1001.45,91.94,Loam,0.21575203352582287
21.01,932.43,113.65,Clay Loam,0.45773500036370957
21.89,1619.9,166.43,Silt Loam,0.6261391600458375
14.12,879.37,101.62,Loam,0.33750288304860515
31.21,1882.29,178.8,Silt Loam,0.7536999760628219
35.47,1759.3,204.46,Loam,0.7999990667121383
16.62,1029.29,155.27,Clay,0.524620464058737
24.35,1576.48,157.7,Silt Loam,0.6307415703996953
21.19,1582.72,167.74,Sand,0.5694098084903274
7.5,475.31,64.24,Silt Loam,0.20385441145004976
21.32,1834.34,181.2,Clay,0.6998531181626328
20.41,1158.93,111.82,Clay Loam,0.4728805820586597
22.6,1704.98,157.17,Clay,0.6601744252983947
17.14,844.08,78.93,Loam,0.3248024071613417
31.25,1822.39,190.09,Loam,0.7554868595034175
16.45,961.64,98.75,Clay,0.4107261750152169
0.78,318.42,9.98,Loam,0.10232632947667279
22.02,1839.15,192.2,Sandy Loam,0.6705278976547878
0.0,455.19,60.39,Sand,0.1281413482548366
14.22,842.83,116.06,Clay Loam,0.38263034870918233
33.14,1915.11,197.96,Sand,0.7609396323694769
38.23,1916.03,170.26,Sandy Loam,0.7801673240834454
21.51,1274.84,101.29,Silt Loam,0.46516124123647673
16.65,1374.12,132.88,Sand,0.4340481069606715
11.27,1062.36,106.24,Sandy Loam,0.3252410606291031
10.48,798.46,106.01,Silt Loam,0.3140165202102715
0.0,858.73,97.15,Sandy Loam,0.2034880218767848
31.23,1443.28,166.9,Loam,0.6871013697502278
27.79,1579.04,142.24,Sandy Loam,0.6145733266615977
33.05,1645.68,182.59,Silt Loam,0.7540331548737512
18.94,1642.35,178.63,Silt Loam,0.6205589030443095
9.32,455.05,30.68,Loam,0.1686627920026496
27.97,1140.51,142.49,Sandy Loam,0.570168582535713
0.0,397.85,57.21,Clay Loam,0.15231378896229925
22.54,1234.2,136.96,Clay Loam,0.5505041988986206
15.02,1050.6,101.58,Clay,0.4106979029935557
22.46,1809.1,201.95,Clay,0.7386214885351987
14.4,896.56,82.9,Silt Loam,0.3219264872812499
8.15,499.01,77.39,Loam,0.21821308043078685
1.86,543.09,81.19,Clay,0.21509269177931023
31.72,1594.57,148.9,Loam,0.6769001012928456
12.69,1350.97,171.34,Sand,0.4611514050379967
0.0,471.91,65.94,Silt Loam,0.1586069743215541
3.54,442.98,69.68,Sandy Loam,0.1674791262641083
23.96,1491.65,131.34,Sandy Loam,0.545974725605999
0.0,423.7,89.9,Sandy Loam,0.16647635472443018
31.99,1697.16,154.38,Clay,0.7383144494737077
26.67,1500.61,170.43,Sandy Loam,0.6445740585706654
7.06,438.29,44.52,Clay,0.198652035353093
2.27,444.22,50.7,Sandy Loam,0.1420117438425501
36.56,1977.29,209.79,Loam,0.8275649753280091
10.5,936.26,119.68,Silt Loam,0.35033457372946564
22.87,930.09,84.64,Sandy Loam,0.38731542755433185
23.57,1681.76,187.72,Loam,0.673319603190079
42.73,1910.32,207.6,Clay,0.8790757821507096
33.7,1976.2,183.79,Loam,0.7777466916304822
18.74,1580.74,186.25,Sandy Loam,0.6018608340775093
19.63,939.64,82.71,Clay,0.4119365384439472
3.47,441.95,50.4,Clay,0.18225686862752075
30.68,1621.15,173.09,Sandy Loam,0.6980620140038422
25.11,1249.29,119.63,Silt Loam,0.5345976680931892
16.11,1021.18,115.86,Loam,0.39623285014659654
27.85,1840.8,189.29,Sandy Loam,0.7183562419452867
8.66,489.04,61.21,Clay Loam,0.21757320832256433
16.75,1137.46,134.86,Clay Loam,0.4748312053611938
3.82,319.3,45.31,Loam,0.14448977076523545
5.17,1096.72,122.18,Sand,0.2781456795529861
4.15,395.72,72.81,Sandy Loam,0.17147074506749077
0.85,501.99,77.04,Clay Loam,0.18446178012691147
12.26,499.79,76.77,Sandy Loam,0.23931619442675323
25.19,1403.66,129.09,Silt Loam,0.5697507942219548
26.56,1568.28,169.02,Silt Loam,0.6703880040740317
22.27,1291.73,123.08,Sandy Loam,0.4907304710572884
27.72,1935.69,174.99,Silt Loam,0.7242827315901316
20.86,937.28,103.28,Loam,0.4130946219385787
19.67,785.71,77.15,Clay,0.3860936107532401
31.5,1776.62,191.75,Loam,0.756002172102004
15.55,680.11,93.43,Clay Loam,0.3400511363379699
29.9,1937.48,165.83,Sandy Loam,0.7089730805303947
0.0,320.66,36.44,Sandy Loam,0.11345920974880384
33.18,1948.79,173.49,Sandy Loam,0.748661423526616
3.64,373.37,46.66,Clay,0.1747750965515473
28.33,1814.94,190.17,Loam,0.731413453675705
20.63,1197.09,124.1,Silt Loam,0.4898410773211238
35.29,1988.04,190.08,Clay Loam,0.813380352381986
0.0,425.45,77.79,Clay,0.1899159629452121
21.43,1241.55,97.17,Loam,0.4406671964894315
37.27,1947.81,213.86,Clay,0.860077374595193
18.64,1189.27,118.87,Clay,0.49564553432423436
27.16,1369.98,142.13,Loam,0.5979255322344267
17.57,1482.77,145.54,Sandy Loam,0.5040416561727094
17.79,1072.72,139.69,Clay,0.5126957544860635
15.49,1366.85,124.55,Clay,0.4925186559208524
14.3,1293.33,136.58,Silt Loam,0.456901968879748
27.48,1831.97,192.79,Clay Loam,0.7489323602969963
0.0,377.26,29.79,Loam,0.11602601188824
6.81,777.64,76.19,Silt Loam,0.23706501776937494
31.24,1915.7,190.19,Loam,0.7630719512177462
34.45,1813.45,169.91,Clay Loam,0.770078824692933
13.89,1074.62,104.48,Silt Loam,0.3713021488834846
13.16,1354.23,136.63,Sand,0.40279669148928576
15.13,771.55,99.18,Clay,0.37812577518819596
2.21,619.81,70.64,Sandy Loam,0.17154969343053614
15.47,1088.29,134.12,Sandy Loam,0.41771257288509156
14.25,900.7,86.1,Loam,0.3152829215096486
20.84,1292.22,117.52,Loam,0.47777587584637576
8.11,432.15,87.79,Sandy Loam,0.21762323218414867
35.52,1956.47,186.21,Silt Loam,0.8004329023660446
29.22,1976.56,178.23,Clay,0.7723366414427397
34.63,1486.87,127.69,Sandy Loam,0.6471802550516056
19.2,1211.36,145.15,Clay,0.5529189628047873
9.79,826.2,89.24,Clay,0.3156738987193744
32.49,1683.45,167.7,Sandy Loam,0.7113406716472389
24.53,1464.04,149.38,Loam,0.5941643558484682
7.53,576.45,87.07,Loam,0.2322191548657497
43.43,1848.58,183.68,Loam,0.833035249194011
26.59,1698.31,208.01,Sandy Loam,0.7231289688878512
30.7,1914.66,194.33,Sandy Loam,0.755326491493962
25.26,1533.72,173.96,Clay Loam,0.6740560802333473
26.21,1342.81,152.93,Loam,0.6047638947011568
6.69,1011.01,110.44,Silt Loam,0.3068434438840092
